year,pref_code,pref_name,temp_c
2015,1,北海道,11.5
2015,2,青森県,13.2
2015,3,岩手県,13.6
2015,4,宮城県,18.3
2015,5,秋田県,10.7
2015,6,山形県,12.4
2015,7,福島県,15.3
2015,8,茨城県,17.8
2015,9,栃木県,16.9
2015,10,群馬県,15.1
2015,11,埼玉県,22.2
2015,12,千葉県,21.6
2015,13,東京都,28.4
2015,14,神奈川県,27.0
2015,15,新潟県,16.8
2015,16,富山県,18.5
2015,17,石川県,17.9
2015,18,福井県,16.7
2015,19,山梨県,20.3
2015,20,長野県,15.4
2015,21,岐阜県,19.2
2015,22,静岡県,22.5
2015,23,愛知県,23.1
2015,24,三重県,21.4
2015,25,滋賀県,20.8
2015,26,京都府,22.0
2015,27,大阪府,24.5
2015,28,兵庫県,23.3
2015,29,奈良県,21.7
2015,30,和歌山県,22.8
2015,31,鳥取県,18.1
2015,32,島根県,17.5
2015,33,岡山県,20.2
2015,34,広島県,21.1
2015,35,山口県,20.0
2015,36,徳島県,22.3
2015,37,香川県,21.9
2015,38,愛媛県,21.0
2015,39,高知県,23.0
2015,40,福岡県,22.7
2015,41,佐賀県,21.5
2015,42,長崎県,21.2
2015,43,熊本県,21.8
2015,44,大分県,21.4
2015,45,宮崎県,22.1
2015,46,鹿児島県,22.6
2015,47,沖縄県,25.3
2016,1,北海道,11.7
2016,2,青森県,13.4
2016,3,岩手県,13.8
2016,4,宮城県,18.5
2016,5,秋田県,10.9
2016,6,山形県,12.6
2016,7,福島県,15.5
2016,8,茨城県,18.0
2016,9,栃木県,17.1
2016,10,群馬県,15.3
2016,11,埼玉県,22.4
2016,12,千葉県,21.8
2016,13,東京都,28.6
2016,14,神奈川県,27.2
2016,15,新潟県,17.0
2016,16,富山県,18.7
2016,17,石川県,18.1
2016,18,福井県,16.9
2016,19,山梨県,20.5
2016,20,長野県,15.6
2016,21,岐阜県,19.4
2016,22,静岡県,22.7         
2016,23,愛知県,23.3
2016,24,三重県,21.6
2016,25,滋賀県,21.0
2016,26,京都府,22.2
2016,27,大阪府,24.7
2016,28,兵庫県,23.5
2016,29,奈良県,21.9
2016,30,和歌山県,23.0
2016,31,鳥取県,18.3
2016,32,島根県,17.7
2016,33,岡山県,20.4
2016,34,広島県,21.3
2016,35,山口県,20.2
2016,36,徳島県,22.5
2016,37,香川県,22.1
2016,38,愛媛県,21.2
2016,39,高知県,23.2
2016,40,福岡県,22.9
2016,41,佐賀県,21.7
2016,42,長崎県,21.4
2016,43,熊本県,22.0
2016,44,大分県,21.6
2016,45,宮崎県,22.3
2016,46,鹿児島県,22.8
2016,47,沖縄県,25.5
